appid,name,developer_spy,publisher_spy,positive_ratings,negative_ratings,owners,price_spy,initialprice,discount,ccu,store_name,release_date,genres,developer_store,publisher_store,price_store,is_free,year,temp_total,developer,publisher,price,owners_min,owners_max,owners_midpoint,total_ratings,rating_ratio,wilson_score,price_group,genre_Accounting,genre_Action,genre_Adventure,genre_Animation & Modeling,genre_Audio Production,genre_Casual,genre_Design & Illustration,genre_Early Access,genre_Education,genre_Free To Play,genre_Game Development,genre_Indie,genre_Massively Multiplayer,genre_Photo Editing,genre_RPG,genre_Racing,genre_Simulation,genre_Sports,genre_Strategy,genre_Utilities,genre_Video Production,genre_Web Publishing
1623730,Palworld,Pocketpair,Pocketpair,358266,22443,"50,000,000 .. 100,000,000",38500000.0,2999,0,18028,Palworld,2024-01-18,"['Action', 'Adventure', 'Indie', 'RPG', 'Early Access']",Pocketpair,Pocketpair,38500000.0,0,2024.0,380709,Pocketpair,Pocketpair,29.99,50000000,100000000,75000000,380709,0.9410494629756586,0.9402968324836382,$10-30,0,1,1,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0
1938090,Call of Duty: Modern Warfare II,"Treyarch, Raven Software, Beenox, High Moon Studios, Activision Shanghai, Sledgehammer Games, Infinity Ward, Demonware, Toys for Bob",Activision,419594,294520,"50,000,000 .. 100,000,000",3849.0,6999,45,67419,Call of Duty®,2022-10-27,['Action'],Treyarch,Activision,,0,2022.0,714114,Treyarch,Activision,69.99,50000000,100000000,75000000,714114,0.5875728525137444,0.586430642564901,>$30,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2358720,Black Myth: Wukong,Game Science,Game Science,1111720,38378,"50,000,000 .. 100,000,000",5999.0,5999,0,15004,Black Myth: Wukong,2024-08-19,"['Action', 'Adventure', 'RPG']",Game Science,Game Science,5999.0,0,2024.0,1150098,Game Science,Game Science,59.99,50000000,100000000,75000000,1150098,0.9666306697342314,0.9663008738054693,>$30,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
2246340,Monster Hunter Wilds,"CAPCOM Co., Ltd.","CAPCOM Co., Ltd.",127273,91142,"20,000,000 .. 50,000,000",6999.0,6999,0,12494,Monster Hunter Wilds,2025-02-27,"['Action', 'Adventure', 'RPG']","CAPCOM Co., Ltd.","CAPCOM Co., Ltd.",6999.0,0,2025.0,218415,"CAPCOM Co., Ltd.","CAPCOM Co., Ltd.",69.99,20000000,50000000,35000000,218415,0.5827118100863036,0.5806423711604902,>$30,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
1966720,Lethal Company,Zeekerss,Zeekerss,473422,13738,"10,000,000 .. 20,000,000",14200000.0,999,0,6199,Lethal Company,2023-10-23,"['Action', 'Adventure', 'Indie', 'Early Access']",Zeekerss,Zeekerss,14200000.0,0,2023.0,487160,Zeekerss,Zeekerss,9.99,10000000,20000000,15000000,487160,0.9717998193611955,0.9713312221916844,<$10,0,1,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0
3164500,Schedule I,TVGS,TVGS,200803,3238,"10,000,000 .. 20,000,000",1049.0,1999,0,22757,Schedule I,2025-03-24,"['Action', 'Indie', 'Simulation', 'Strategy', 'Early Access']",TVGS,TVGS,1049.0,0,2025.0,204041,TVGS,TVGS,19.99,10000000,20000000,15000000,204041,0.9841306404105057,0.9835792106879461,$10-30,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,1,0,0,0
2186680,"Warhammer 40,000: Rogue Trader",Owlcat Games,Owlcat Games,26360,4445,"10,000,000 .. 20,000,000",58500000.0,4999,0,3582,"Warhammer 40,000: Rogue Trader",2023-12-07,"['Action', 'Adventure', 'Indie', 'RPG', 'Strategy']",Owlcat Games,Owlcat Games,58500000.0,0,2023.0,30805,Owlcat Games,Owlcat Games,49.99,10000000,20000000,15000000,30805,0.855705242655413,0.8517369304360404,>$30,0,1,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0
3241660,R.E.P.O.,semiwork,semiwork,179154,6488,"10,000,000 .. 20,000,000",44900.0,999,0,32349,R.E.P.O.,2025-02-26,"['Action', 'Early Access']",semiwork,semiwork,44900.0,0,2025.0,185642,semiwork,semiwork,9.99,10000000,20000000,15000000,185642,0.9650510121631958,0.9642059288306936,<$10,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1811260,EA SPORTS FIFA 23,EA Canada &amp; EA Romania,Electronic Arts,86192,65227,"5,000,000 .. 10,000,000",0.0,0,0,1280,EA SPORTS™ FIFA 23,2022-09-30,"['Simulation', 'Sports']",EA Canada,Electronic Arts,,1,2022.0,151419,EA Canada,Electronic Arts,0.0,5000000,10000000,7500000,151419,0.5692284323631777,0.5667325498903316,Free,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0
2050650,Resident Evil 4,"CAPCOM Co., Ltd.","CAPCOM Co., Ltd.",177539,4169,"5,000,000 .. 10,000,000",85000000.0,3999,0,3748,Resident Evil 4,2023-03-23,"['Action', 'Adventure']","CAPCOM Co., Ltd.","CAPCOM Co., Ltd.",85000000.0,0,2023.0,181708,"CAPCOM Co., Ltd.","CAPCOM Co., Ltd.",39.99,5000000,10000000,7500000,181708,0.9770565962973562,0.9763580317347272,>$30,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
